Cell Code,T_C,T_K,Conductivity,Filename,1000/T
GG01,-20,253.14999999999998,5.019934269422431e-05,BL-LL-GG01_-20C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.950227138060439
GG01,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GG01_-40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.2890842805061125
GG01,-40,233.14999999999998,5.591970704891238e-05,BL-LL-GG01_-40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.2890842805061125
GG01,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GG01_-60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,4.691531785127845
GG01,-60,213.14999999999998,6.447147168195437e-05,BL-LL-GG01_-60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,4.691531785127845
GG02,60,333.15,9.718173228980811e-05,BL-LL-GG02_60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.0016509079994
GG02,60,333.15,1.765347389033011e-08,BL-LL-GG02_60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.0016509079994
GG02,40,313.15,9.718173228980811e-05,BL-LL-GG02_40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.193357815743254
GG02,40,313.15,1.3639747596983572e-08,BL-LL-GG02_40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.193357815743254
GG02,20,293.15,9.276438082208953e-05,BL-LL-GG02_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GG02,20,293.15,1.01901924004113e-08,BL-LL-GG02_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GG02,10,283.15,9.718173228980811e-05,BL-LL-GG02_10C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.531696980399082
GG02,10,283.15,8.797040714914246e-09,BL-LL-GG02_10C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.531696980399082
GG02,0,273.15,9.718173228980811e-05,BL-LL-GG02_0C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.660992128866923
GG02,0,273.15,7.715981582100111e-09,BL-LL-GG02_0C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.660992128866923
GG02,-10,263.15,9.718173228980811e-05,BL-LL-GG02_-10C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.800114003420103
GG02,-10,263.15,6.545984940668384e-09,BL-LL-GG02_-10C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.800114003420103
GG02,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GG02_-20C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.950227138060439
